,gender,married,dependents,education,self_employed,applicantincome,coapplicantincome,loanamount,loan_amount_term,credit_history,property_area,loan_status
1,male,yes,1.0,graduate,no,4583,1508.0,128.0,360.0,1.0,rural,n
2,male,yes,0.0,graduate,yes,3000,0.0,66.0,360.0,1.0,urban,y
3,male,yes,0.0,not graduate,no,2583,2358.0,120.0,360.0,1.0,urban,y
4,male,no,0.0,graduate,no,6000,0.0,141.0,360.0,1.0,urban,y
5,male,yes,2.0,graduate,yes,5417,4196.0,267.0,360.0,1.0,urban,y
6,male,yes,0.0,not graduate,no,2333,1516.0,95.0,360.0,1.0,urban,y
7,male,yes,3.0,graduate,no,3036,2504.0,158.0,360.0,0.0,semiurban,n
8,male,yes,2.0,graduate,no,4006,1526.0,168.0,360.0,1.0,urban,y
9,male,yes,1.0,graduate,no,12841,10968.0,349.0,360.0,1.0,semiurban,n
10,male,yes,2.0,graduate,no,3200,700.0,70.0,360.0,1.0,urban,y
12,male,yes,2.0,graduate,no,3073,8106.0,200.0,360.0,1.0,urban,y
13,male,no,0.0,graduate,no,1853,2840.0,114.0,360.0,1.0,rural,n
14,male,yes,2.0,graduate,no,1299,1086.0,17.0,120.0,1.0,urban,y
15,male,no,0.0,graduate,no,4950,0.0,125.0,360.0,1.0,urban,y
17,female,no,0.0,graduate,no,3510,0.0,76.0,360.0,0.0,urban,n
18,male,yes,0.0,not graduate,no,4887,0.0,133.0,360.0,1.0,rural,n
20,male,yes,0.0,not graduate,no,7660,0.0,104.0,360.0,0.0,urban,n
21,male,yes,1.0,graduate,no,5955,5625.0,315.0,360.0,1.0,urban,y
22,male,yes,0.0,not graduate,no,2600,1911.0,116.0,360.0,0.0,semiurban,n
25,male,yes,0.0,graduate,yes,9560,0.0,191.0,360.0,1.0,semiurban,y
26,male,yes,0.0,graduate,no,2799,2253.0,122.0,360.0,1.0,semiurban,y
27,male,yes,2.0,not graduate,no,4226,1040.0,110.0,360.0,1.0,urban,y
28,male,no,0.0,not graduate,no,1442,0.0,35.0,360.0,1.0,urban,n
31,male,no,0.0,graduate,no,3167,0.0,74.0,360.0,1.0,urban,n
32,male,no,1.0,graduate,yes,4692,0.0,106.0,360.0,1.0,rural,n
33,male,yes,0.0,graduate,no,3500,1667.0,114.0,360.0,1.0,semiurban,y
34,male,no,3.0,graduate,no,12500,3000.0,320.0,360.0,1.0,rural,n
37,female,yes,0.0,graduate,no,3667,1459.0,144.0,360.0,1.0,semiurban,y
38,male,no,0.0,graduate,no,4166,7210.0,184.0,360.0,1.0,urban,y
39,male,no,0.0,not graduate,no,3748,1668.0,110.0,360.0,1.0,semiurban,y
40,male,no,0.0,graduate,no,3600,0.0,80.0,360.0,1.0,urban,n
41,male,no,0.0,graduate,no,1800,1213.0,47.0,360.0,1.0,urban,y
43,male,yes,0.0,graduate,no,3941,2336.0,134.0,360.0,1.0,semiurban,y
46,male,yes,1.0,graduate,no,5649,0.0,44.0,360.0,1.0,urban,y
47,male,yes,0.0,graduate,no,5821,0.0,144.0,360.0,1.0,urban,y
48,female,yes,0.0,graduate,no,2645,3440.0,120.0,360.0,0.0,urban,n
49,female,no,0.0,graduate,no,4000,2275.0,144.0,360.0,1.0,semiurban,y
50,female,yes,0.0,not graduate,no,1928,1644.0,100.0,360.0,1.0,semiurban,y
51,female,no,0.0,graduate,no,3086,0.0,120.0,360.0,1.0,semiurban,y
52,female,no,0.0,graduate,no,4230,0.0,112.0,360.0,1.0,semiurban,n
53,male,yes,2.0,graduate,no,4616,0.0,134.0,360.0,1.0,urban,n
54,female,yes,1.0,graduate,yes,11500,0.0,286.0,360.0,0.0,urban,n
55,male,yes,2.0,graduate,no,2708,1167.0,97.0,360.0,1.0,semiurban,y
56,male,yes,0.0,graduate,no,2132,1591.0,96.0,360.0,1.0,semiurban,y
57,male,yes,0.0,graduate,no,3366,2200.0,135.0,360.0,1.0,rural,n
58,male,yes,1.0,graduate,no,8080,2250.0,180.0,360.0,1.0,urban,y
59,male,yes,2.0,not graduate,no,3357,2859.0,144.0,360.0,1.0,urban,y
60,male,yes,0.0,graduate,no,2500,3796.0,120.0,360.0,1.0,urban,y
61,male,yes,3.0,graduate,no,3029,0.0,99.0,360.0,1.0,urban,y
62,male,yes,0.0,not graduate,yes,2609,3449.0,165.0,180.0,0.0,rural,n
64,female,no,0.0,graduate,no,4166,0.0,116.0,360.0,0.0,semiurban,n
65,male,yes,0.0,graduate,no,5726,4595.0,258.0,360.0,1.0,semiurban,n
66,male,no,0.0,not graduate,no,3200,2254.0,126.0,180.0,0.0,urban,n
67,male,yes,1.0,graduate,no,10750,0.0,312.0,360.0,1.0,urban,y
68,male,yes,3.0,not graduate,yes,7100,0.0,125.0,60.0,1.0,urban,y
69,female,no,0.0,graduate,no,4300,0.0,136.0,360.0,0.0,semiurban,n
70,male,yes,0.0,graduate,no,3208,3066.0,172.0,360.0,1.0,urban,y
71,male,yes,2.0,not graduate,yes,1875,1875.0,97.0,360.0,1.0,semiurban,y
